timing_lns_scenario,instance_name,customer_count,vehicle_capacity,random_regret_total_lns_system_distance,random_regret_system_improvement_percent,random_regret_n_remove,random_regret_rejected_infeasible_moves,random_regret_timing_feasible,related_regret_total_lns_system_distance,related_regret_system_improvement_percent,related_regret_n_remove,related_regret_rejected_infeasible_moves,related_regret_timing_feasible,winning_operator_pair_by_system_distance,related_minus_random_system_distance,related_minus_random_system_distance_pct_of_random,notes_or_warnings
wave_speed30_14wave_split,80c_cap35,80,35,967.9469535376667,4.304454121150989,10,0,True,969.7943897924896,4.12180834677718,9,0,True,random_regret,1.8474362548229237,0.19086131198315018,
wave_speed40_split,100c_cap15,100,15,2193.988918898316,1.8620197039576674,5,0,True,2192.2011333495966,1.9419880490311168,8,0,True,related_regret,-1.787785548719512,-0.08148562343775309,
wave_speed40_split,100c_cap25,100,25,1643.7186970431976,4.339591280162417,9,0,True,1647.5119878432984,4.1188310314753505,8,0,True,random_regret,3.793290800100749,0.23077493776303132,
wave_speed40_split,100c_cap35,100,35,1404.8899997965918,9.17470022462063,12,0,True,1413.0635584159572,8.646284539447427,7,0,True,random_regret,8.173558619365394,0.5817934941916314,
wave_speed40_split,150c_cap15,150,15,4827.356976750654,1.8727859265592788,11,0,True,4827.037877013142,1.8792723679814587,5,0,True,related_regret,-0.3190997375122606,-0.0066102370106270875,
wave_speed40_split,150c_cap25,150,25,3445.252311778492,6.188949967528037,10,0,True,3450.246449768092,6.052964185816282,6,0,True,random_regret,4.994137989599949,0.1449571043759607,
wave_speed40_split,150c_cap35,150,35,2999.652799051417,7.7755477369051516,16,0,True,3039.4721204522084,6.551301015138742,17,0,True,random_regret,39.81932140079152,1.3274643456530577,
wave_speed40_split,200c_cap15,200,15,8281.508644693484,5.770086163263289,6,0,True,8360.461468717636,4.871733203174302,14,0,True,random_regret,78.9528240241525,0.9533628160219678,
wave_speed40_split,200c_cap25,200,25,5904.522183053139,5.2058970223744145,5,0,True,5886.78801125425,5.49061013812014,9,0,True,related_regret,-17.734171798889292,-0.30034897404211663,
wave_speed40_split,200c_cap35,200,35,5003.957058355043,8.306274465146904,13,0,True,4997.6560759357935,8.42173519868496,7,0,True,related_regret,-6.300982419249522,-0.12591999383225824,
wave_speed40_split,20c_cap15,20,15,135.04447944571342,3.254882073983481,2,0,True,135.04447944571342,3.254882073983481,2,0,True,tie,0.0,0.0,
wave_speed40_split,20c_cap25,20,25,117.69443988245759,3.7168693182584653,2,0,True,117.69443988245759,3.7168693182584653,2,0,True,tie,0.0,0.0,
wave_speed40_split,20c_cap35,20,35,117.69443988245759,3.7168693182584653,2,0,True,117.69443988245759,3.7168693182584653,2,0,True,tie,0.0,0.0,
wave_speed40_split,40c_cap15,40,15,446.03980625415386,3.4619644335025463,3,0,True,446.03980625415386,3.4619644335025463,2,0,True,tie,0.0,0.0,
wave_speed40_split,40c_cap25,40,25,327.20526874744905,7.175156002886625,5,0,True,328.45124594371805,6.821684803262087,4,0,True,random_regret,1.2459771962689956,0.38079374486805523,
wave_speed40_split,40c_cap35,40,35,315.25859087837415,9.859220825962886,5,0,True,315.2526072561921,9.860931701990943,4,0,True,related_regret,-0.005983622182043291,-0.0018980044811377575,
